Refactoring Type	Source Method	Target Class
Move Method	org.apache.lucene.queryParser.surround.parser.QueryParser::OptionalFields():java.util.ArrayList 	 org.apache.lucene.queryParser.surround.parser.Token
Move Method	org.apache.lucene.queryParser.surround.parser.QueryParser::jj_consume_token(int):org.apache.lucene.queryParser.surround.parser.Token 	 org.apache.lucene.queryParser.surround.parser.Token
Move Method	org.apache.lucene.queryParser.surround.parser.QueryParser::jj_scan_token(int):boolean 	 org.apache.lucene.queryParser.surround.parser.Token
Move Method	org.apache.lucene.queryParser.surround.parser.QueryParserTokenManager::jjMoveNfa_1(int, int):int 	 org.apache.lucene.queryParser.surround.parser.CharStream
Move Method	org.apache.lucene.queryParser.surround.parser.QueryParserTokenManager::jjFillToken():org.apache.lucene.queryParser.surround.parser.Token 	 org.apache.lucene.queryParser.surround.parser.Token
Move Method	org.apache.lucene.wordnet.SynExpand::expand(java.lang.String, org.apache.lucene.search.Searcher, org.apache.lucene.analysis.Analyzer, java.lang.String, float):org.apache.lucene.search.Query 	 org.apache.lucene.wordnet.Syns2Index
Move Method	org.apache.lucene.wordnet.SynLookup::expand(java.lang.String, org.apache.lucene.search.Searcher, org.apache.lucene.analysis.Analyzer, java.lang.String, float):org.apache.lucene.search.Query 	 org.apache.lucene.wordnet.Syns2Index
Move Method	org.apache.lucene.demo.FileDocument::Document(java.io.File):org.apache.lucene.document.Document 	 org.apache.lucene.document.DateTools
Move Method	org.apache.lucene.demo.HTMLDocument::uid(java.io.File):java.lang.String 	 org.apache.lucene.document.DateTools
Move Method	org.apache.lucene.demo.HTMLDocument::Document(java.io.File):org.apache.lucene.document.Document 	 org.apache.lucene.document.DateTools
Move Method	org.apache.lucene.index.DocumentWriter::invertDocument(org.apache.lucene.document.Document):void 	 org.apache.lucene.analysis.Analyzer
Move Method	org.apache.lucene.index.IndexReader::isLocked(java.lang.String):boolean 	 org.apache.lucene.store.FSDirectory
Move Method	org.apache.lucene.index.MultipleTermPositions::skipTo(int):boolean 	 org.apache.lucene.index.MultipleTermPositions.TermPositionsQueue
Move Method	org.apache.lucene.index.SegmentMerger::mergeFields():int 	 org.apache.lucene.index.IndexReader
Move Method	org.apache.lucene.index.SegmentMerger::mergeTerms():void 	 org.apache.lucene.store.Directory
Move Method	org.apache.lucene.index.SegmentMerger::mergeTermInfo(org.apache.lucene.index.SegmentMergeInfo[], int):void 	 org.apache.lucene.index.TermInfo
Move Method	org.apache.lucene.index.SegmentMerger::appendPostings(org.apache.lucene.index.SegmentMergeInfo[], int):int 	 org.apache.lucene.index.TermPositions
Move Method	org.apache.lucene.index.TermVectorsReader::checkValidFormat(org.apache.lucene.store.IndexInput):int 	 org.apache.lucene.store.IndexInput
Move Method	org.apache.lucene.index.TermVectorsReader::get(int, java.lang.String):org.apache.lucene.index.TermFreqVector 	 org.apache.lucene.index.FieldInfos
Move Method	org.apache.lucene.index.TermVectorsReader::get(int):org.apache.lucene.index.TermFreqVector[] 	 org.apache.lucene.index.FieldInfos
Move Method	org.apache.lucene.index.TermVectorsWriter::addAllDocVectors(org.apache.lucene.index.TermFreqVector[]):void 	 org.apache.lucene.index.TermPositionVector
Move Method	org.apache.lucene.queryParser.QueryParser::jj_consume_token(int):org.apache.lucene.queryParser.Token 	 org.apache.lucene.queryParser.Token
Move Method	org.apache.lucene.queryParser.QueryParser::jj_scan_token(int):boolean 	 org.apache.lucene.queryParser.Token
Move Method	org.apache.lucene.queryParser.QueryParserTokenManager::jjMoveNfa_3(int, int):int 	 org.apache.lucene.queryParser.CharStream
Move Method	org.apache.lucene.queryParser.QueryParserTokenManager::jjMoveNfa_1(int, int):int 	 org.apache.lucene.queryParser.CharStream
Move Method	org.apache.lucene.queryParser.QueryParserTokenManager::jjMoveNfa_2(int, int):int 	 org.apache.lucene.queryParser.CharStream
Move Method	org.apache.lucene.queryParser.QueryParserTokenManager::jjFillToken():org.apache.lucene.queryParser.Token 	 org.apache.lucene.queryParser.Token
